id_ordine,id_cliente,dataordine,numeroarticoli,prezzototale
220,442,2020-09-06,2,41.21
221,1807,2024-04-05,2,31.07
222,85,2023-02-09,2,43.86
223,822,2021-01-31,2,39.25
224,1777,2021-11-08,2,25.05
225,489,2020-09-05,2,31.13
226,1578,2021-09-07,2,43.27
227,1723,2021-11-19,2,35.33
228,1500,2021-01-09,2,39.39
229,61,2024-03-29,2,21.04
230,638,2024-03-17,2,48.9
231,1114,2023-03-12,2,47.55
232,1411,2020-05-03,2,40.2
233,1660,2020-11-29,2,52.65
234,1820,2024-10-09,2,38.7
235,260,2022-09-07,2,30.32
236,328,2020-12-06,2,23.58
237,351,2021-08-13,2,31.6
238,93,2024-03-30,2,30.64
239,157,2022-10-28,2,55.8
240,609,2022-07-29,2,21.42
241,515,2024-12-31,2,33.39
242,1866,2024-02-25,2,27.83
243,1304,2022-07-21,2,38.24
244,1080,2020-04-26,2,37.71
245,1560,2021-05-07,2,55.88
246,1886,2021-04-04,2,45.37
247,989,2021-01-26,2,43.36
248,1780,2021-12-01,2,31.06
249,930,2023-06-01,2,34.5
250,1861,2022-02-19,2,30.49
251,1444,2021-07-28,2,39.09
252,1462,2020-01-12,2,33.03
253,719,2024-08-23,2,56.26
254,481,2024-08-03,2,67.17
255,677,2023-08-22,2,48.71
256,40,2020-12-15,2,41.9
257,775,2020-01-27,2,23.85
258,730,2023-04-10,2,25.1
259,1658,2023-01-08,2,28.86
260,778,2020-04-03,2,21.93
261,17,2021-02-21,2,50.28
262,410,2021-02-17,2,52.9
263,1770,2023-11-26,2,32.77
264,1947,2020-09-15,2,26.0
265,1645,2023-12-24,2,60.14
266,45,2020-04-25,2,28.66
267,789,2021-07-18,2,36.82
268,1361,2020-02-18,2,56.03
269,1524,2023-05-18,2,41.3
270,1944,2021-05-19,2,40.06
271,566,2025-02-02,2,35.61
272,1792,2024-11-20,2,27.74
273,1259,2024-07-11,2,61.36
274,1831,2024-03-08,2,33.0
275,1757,2024-12-27,2,31.32
276,789,2022-01-17,2,31.28
277,1370,2022-03-10,2,69.45
278,854,2023-06-13,2,47.82
279,965,2021-06-23,2,77.38
280,893,2023-02-08,2,48.56
281,1721,2024-04-15,2,24.47
282,1269,2024-01-31,2,47.39
283,1099,2020-02-13,2,63.6
284,231,2022-09-14,2,30.89
285,1427,2020-09-13,2,37.43
286,1231,2020-08-11,2,36.5
287,478,2023-11-02,2,61.32
288,573,2023-02-20,2,42.1
289,1788,2024-04-20,2,49.52
290,37,2024-05-19,2,55.11
291,331,2022-05-02,2,41.58
292,1468,2023-06-24,2,57.47
293,1096,2021-12-29,2,38.23
294,1939,2024-02-03,2,40.97
295,752,2022-01-23,2,44.42
296,1493,2022-05-19,2,29.74
297,676,2023-11-15,2,27.24
298,619,2021-09-26,2,39.34
299,270,2021-10-16,2,26.4
300,1517,2023-09-19,2,28.19
301,657,2022-06-23,2,30.84
302,1669,2024-05-31,2,40.24
303,28,2023-04-09,2,33.68
304,1451,2022-11-13,2,39.79
305,430,2021-01-02,2,48.14
306,1091,2022-05-10,2,37.27
307,183,2021-08-12,2,45.65
308,1334,2022-02-14,2,37.19
309,412,2025-02-02,2,23.17
310,1341,2021-04-30,2,53.14
311,808,2021-01-31,2,38.19
312,1861,2021-08-19,2,20.99
313,790,2022-08-27,2,36.38
314,1527,2023-05-03,2,39.22
315,1085,2020-05-14,2,40.85
316,746,2022-04-01,2,30.17
317,1820,2023-03-18,2,42.73
318,1926,2023-07-11,2,29.3
319,1043,2024-03-21,2,32.87
320,422,2021-02-01,2,31.0
321,684,2020-01-11,2,58.85
322,1621,2024-07-08,2,21.87
323,924,2021-04-26,2,38.9
324,439,2021-11-22,2,54.71
325,712,2021-01-09,2,51.31
326,857,2023-03-15,2,24.47
327,415,2022-11-14,2,29.52
328,31,2021-06-05,2,28.49
329,1869,2022-02-07,2,29.88
330,1299,2021-11-24,2,24.78
331,1875,2024-01-15,2,33.42
332,863,2021-06-01,2,56.75
333,1828,2022-08-02,2,34.49
334,1556,2021-07-12,2,37.19
335,1702,2022-06-17,2,27.22
336,1118,2024-04-03,2,28.94
337,1009,2020-08-24,2,29.44
338,1662,2024-11-23,2,44.18
339,548,2023-09-12,2,21.62
340,108,2024-08-09,2,36.2
341,1596,2020-09-30,2,39.03
342,1711,2024-07-16,2,57.43
343,424,2021-01-13,2,34.41
344,198,2024-03-09,2,49.39
345,1904,2021-05-10,2,45.04
346,1775,2024-12-31,2,33.52
347,59,2024-05-21,2,29.8
348,631,2021-03-28,2,48.22
349,1041,2025-01-29,2,21.79
350,212,2021-09-12,2,29.66
351,26,2022-04-08,2,41.18
352,967,2022-09-28,2,35.82
353,1648,2022-10-24,2,39.36
354,679,2021-04-16,2,50.16
355,308,2022-03-13,2,42.8
356,1398,2024-05-30,2,39.47
357,1189,2022-03-05,2,39.02
358,154,2024-01-09,2,34.97
359,81,2020-11-23,2,31.45
360,1216,2023-01-14,2,42.6
361,1798,2023-07-08,2,20.94
362,980,2023-07-25,2,33.09
363,1555,2022-08-29,2,32.51
364,858,2022-09-02,2,60.84
365,302,2021-05-17,2,23.11
366,1568,2023-11-04,2,62.42
367,1587,2024-04-05,2,24.53
368,1071,2023-05-31,2,40.28
369,158,2023-01-14,2,43.78
370,581,2021-07-30,2,37.77
371,908,2022-09-17,2,39.88
372,1863,2021-03-23,2,26.79
373,662,2021-01-05,2,24.39
374,164,2023-02-15,2,65.79
375,3,2024-07-07,2,19.13
376,1406,2020-05-12,2,34.66
377,1549,2024-01-12,2,26.01
378,462,2022-04-15,2,42.88
379,699,2022-07-22,2,30.34
380,1399,2021-04-17,2,34.52
381,283,2023-12-17,2,28.32
382,507,2021-12-13,2,52.93
383,1303,2023-09-13,2,58.6
384,1397,2023-03-17,2,32.1
385,409,2022-09-12,2,38.12
386,899,2020-03-16,2,31.86
387,218,2022-02-24,2,28.31
388,879,2020-03-17,2,47.45
389,847,2023-11-26,2,21.82
390,1717,2020-08-07,2,34.36
391,502,2021-08-10,2,53.94
392,650,2024-11-28,2,53.54
393,559,2020-07-30,2,42.72
394,1647,2022-05-17,2,26.65
395,1411,2020-06-04,2,25.63
396,723,2021-07-18,2,51.58
397,1410,2021-10-30,2,24.84
398,908,2023-06-28,2,35.84
399,1970,2020-04-22,2,54.14
400,1860,2024-07-26,2,38.81
401,581,2023-06-30,2,49.48
402,429,2021-07-30,2,29.99
403,1684,2024-01-13,2,25.95
404,1933,2021-06-20,2,29.26
405,309,2020-12-07,2,33.04
406,948,2022-05-03,2,44.22
407,1183,2021-05-26,2,55.84
408,253,2020-05-31,2,33.64
409,726,2021-11-27,2,36.69
410,704,2021-02-15,2,56.13
411,370,2023-10-11,2,64.75
412,883,2020-07-26,2,22.01
413,477,2024-04-17,2,42.91
414,324,2022-03-28,2,39.22
415,1102,2023-04-18,2,35.98
416,1765,2024-07-20,2,33.51
417,161,2024-12-24,2,33.71
418,957,2024-09-12,2,43.52
419,1405,2024-10-21,2,24.67
420,984,2021-10-18,2,37.62
421,1653,2023-12-22,2,32.17
422,959,2024-07-12,2,16.91
423,1080,2024-08-26,2,34.74
424,1063,2020-09-07,2,34.72
425,299,2020-09-02,2,31.39
426,987,2022-12-25,2,22.03
427,677,2024-08-05,2,17.39
428,665,2023-05-13,2,51.57
429,941,2023-03-30,2,22.14
430,1991,2021-03-15,2,48.17
431,1953,2023-03-11,2,28.72
432,607,2024-03-07,2,40.3
433,1317,2020-09-02,2,26.33
434,800,2022-03-02,2,31.88
435,1718,2021-05-14,2,25.29
436,687,2022-08-05,2,29.38
437,1126,2021-06-26,2,23.2
438,977,2021-01-08,2,22.79
439,782,2020-10-20,2,31.73
440,1120,2022-10-24,2,27.96
441,608,2021-01-05,2,25.05
442,60,2023-09-22,2,52.85
443,1205,2022-01-23,2,34.19
444,934,2022-07-28,2,38.14
445,656,2021-07-30,2,62.61
446,1235,2023-05-09,2,34.59
447,1645,2024-11-07,2,51.13
448,264,2022-03-23,2,66.08
449,544,2023-09-16,2,24.09
450,126,2024-12-05,2,55.69
451,1774,2024-06-27,2,49.92
452,1543,2020-01-27,2,50.23
453,933,2022-10-26,2,35.49
454,1496,2024-02-17,2,33.06
455,223,2022-11-04,2,42.6
456,886,2022-04-16,2,28.07
457,1648,2022-09-17,2,30.38
458,110,2023-07-25,2,28.0
459,1682,2021-11-21,2,45.79
460,1113,2024-04-02,2,44.76
461,1833,2024-05-04,2,35.22
462,624,2020-08-13,2,54.46
463,1061,2024-06-23,2,40.57
464,1484,2024-08-09,2,38.7
465,242,2025-01-02,2,40.54
466,690,2020-05-08,2,42.53
467,959,2021-12-18,2,57.48
468,198,2022-12-09,2,35.75
469,22,2023-03-18,2,40.07
470,594,2020-12-10,2,18.83
471,1167,2021-10-12,2,37.84
472,1923,2024-12-20,2,19.36
473,1403,2023-09-05,2,30.59
474,1976,2021-11-04,2,50.94
475,193,2022-01-03,2,37.96
476,1617,2024-12-29,2,41.04
477,597,2022-09-25,2,36.44
478,49,2021-08-29,2,45.27
479,1585,2023-11-05,2,36.57
480,1668,2021-12-27,2,70.0
481,1599,2020-05-22,2,47.44
482,1751,2022-06-08,2,49.41
483,1469,2020-09-15,2,42.42
484,1534,2022-04-02,2,44.85
485,1150,2021-12-10,2,34.64
486,249,2024-07-27,2,47.41
487,242,2022-03-15,2,26.05
488,813,2022-06-01,2,68.03
489,1246,2020-01-10,2,41.36
490,335,2024-06-19,2,42.24
491,1330,2024-12-10,2,35.63
492,146,2024-02-21,2,20.64
493,1831,2020-09-02,2,29.8
494,906,2021-10-31,2,38.15
495,1885,2022-07-29,2,56.18
496,512,2021-05-03,2,31.25
497,1499,2023-08-18,2,47.69
498,1463,2024-11-30,2,53.34
499,1504,2021-01-18,2,41.5
500,1794,2020-03-07,2,36.85
501,598,2021-02-25,2,49.08
502,1900,2024-11-18,2,41.56
503,1783,2023-07-28,2,33.0
504,1335,2021-09-08,2,42.0
505,178,2022-11-30,2,59.86
506,111,2021-02-20,2,51.21
507,826,2020-12-14,2,29.24
508,881,2023-07-11,2,36.21
509,1064,2023-09-16,2,38.69
510,136,2023-01-29,2,36.87
511,1487,2021-02-11,2,57.7
512,1089,2024-06-15,2,42.36
513,343,2024-12-20,2,27.65
514,144,2024-05-11,2,33.29
515,1560,2024-11-16,2,37.24
516,434,2024-09-20,2,76.49
517,837,2021-04-25,2,18.36
518,970,2021-04-29,2,40.32
519,1717,2024-04-10,2,69.46
520,225,2021-09-15,2,37.15
521,651,2020-09-16,2,34.94
522,1938,2024-04-30,2,37.54
523,262,2024-07-11,2,49.71
524,260,2024-06-01,2,32.29
525,929,2020-12-28,2,46.36
526,1968,2022-09-12,2,52.4
527,1030,2022-11-19,2,55.11
528,1542,2024-09-23,2,46.11
529,1916,2024-03-17,2,36.5
530,1829,2023-04-09,2,33.8
531,311,2021-04-16,2,33.21
532,1015,2024-11-07,2,34.66
533,152,2024-07-31,2,29.93
534,765,2020-11-04,2,34.9
535,818,2020-09-12,2,26.62
536,249,2024-08-13,2,50.19
537,1337,2024-02-22,2,46.98
538,791,2024-06-19,2,37.86
539,1534,2021-11-20,2,43.15
540,612,2024-08-01,2,39.77
541,971,2024-08-03,2,37.19
542,1686,2022-11-10,2,33.07
543,1271,2022-07-21,2,42.08
544,1171,2020-12-07,2,59.34
545,1056,2021-06-22,2,65.66
546,539,2020-11-14,2,49.35
547,1049,2025-01-10,2,40.39
548,1068,2021-06-13,2,33.91
549,1763,2020-07-07,2,30.55
550,922,2024-09-25,2,27.2
551,65,2024-01-27,2,38.68
552,27,2024-09-25,2,46.98
553,592,2024-03-02,2,35.24
554,1657,2020-03-26,2,58.09
555,1290,2024-02-14,2,26.63
556,1577,2024-11-07,2,37.82
557,563,2023-06-08,2,36.43
558,1419,2020-08-04,2,27.09
559,1099,2023-04-25,2,45.75
560,281,2020-03-22,2,50.41
561,1275,2024-02-13,2,65.01
562,1867,2020-08-29,2,28.59
563,1865,2021-02-17,2,53.02
564,962,2024-05-19,2,27.98
565,1768,2022-05-17,2,32.55
566,1819,2022-06-30,2,33.52
567,529,2024-05-18,2,42.48
568,18,2022-08-31,2,35.68
569,1057,2021-09-01,2,18.46
570,687,2024-04-09,2,24.35
571,820,2024-02-27,2,69.19
572,1341,2021-12-25,2,46.81
573,1209,2023-05-07,2,44.57
574,923,2024-06-21,2,30.25
575,330,2023-01-15,2,32.65
576,1508,2020-12-05,2,53.86
577,379,2023-08-05,2,26.56
578,341,2024-05-06,2,55.44
579,918,2022-12-24,2,57.83
580,1381,2021-09-19,2,66.39
581,13,2020-07-01,2,48.59
582,415,2024-09-15,2,39.27
583,173,2024-07-20,2,17.82
584,533,2021-10-19,2,30.55
585,1891,2024-06-04,2,32.4
586,305,2023-08-15,2,42.64
587,923,2024-04-09,2,32.57
588,1018,2024-09-19,2,43.93
589,1746,2021-07-13,2,33.37
590,1519,2023-08-24,2,23.17
591,252,2024-07-25,2,15.71
592,883,2020-05-13,2,35.39
593,1156,2024-03-21,2,33.48
594,601,2021-01-29,2,36.1
595,452,2024-07-29,2,43.69
596,558,2020-11-18,2,26.05
597,1201,2020-03-20,2,31.26
598,1878,2024-12-18,2,41.23
599,1771,2021-10-26,2,39.99
600,928,2024-02-12,2,40.42
601,1220,2021-02-24,2,30.52
602,1331,2022-11-09,2,50.13
603,1289,2020-01-23,2,40.89
604,1720,2021-06-16,2,38.35
605,193,2021-06-01,2,34.6
606,674,2020-08-29,2,15.57
607,858,2021-10-28,2,23.89
608,1129,2025-01-10,2,28.3
609,1771,2020-05-20,2,38.38
610,930,2022-05-25,2,66.07
611,1919,2021-04-30,2,42.5
612,1159,2023-09-29,2,41.8
613,1680,2022-10-28,2,26.87
614,1008,2022-12-22,2,38.36
615,431,2023-05-20,2,39.66
616,372,2024-03-21,2,43.59
617,1967,2023-08-27,2,56.69
618,1061,2024-07-28,2,43.73
619,293,2024-02-23,2,24.37
620,1711,2024-03-05,2,41.34
621,224,2024-12-25,2,23.49
622,1389,2022-08-22,2,44.65
623,1266,2023-05-10,2,21.22
624,261,2024-05-09,2,60.43
625,1243,2024-05-16,2,26.17
626,1055,2021-05-02,2,27.05
627,1383,2021-10-16,2,40.59
628,1736,2021-01-23,2,33.65
629,580,2023-06-30,2,28.01
630,382,2022-08-29,2,44.57
631,904,2021-03-01,2,29.65
632,1576,2022-11-27,2,38.96
633,620,2020-10-19,2,51.28
634,1328,2021-11-08,2,51.15
635,823,2021-02-24,2,47.39
636,79,2021-07-20,2,43.35
637,1292,2024-05-21,2,35.96
638,1869,2023-09-14,2,45.92
639,338,2023-05-03,2,27.4
640,689,2020-09-06,2,27.84
641,1785,2021-02-15,2,48.91
642,1466,2022-01-04,2,38.22
643,212,2024-07-16,2,47.55
644,1422,2020-04-26,2,54.61
645,1639,2021-11-26,2,24.21
646,1206,2022-07-24,2,27.03
647,13,2023-10-18,2,29.33
648,645,2021-01-19,2,37.02
649,1287,2020-12-02,2,33.96
650,943,2022-01-13,2,19.56
651,1204,2024-02-14,2,31.87
652,1185,2020-08-10,2,41.56
653,1019,2022-03-01,2,24.06
654,92,2022-05-22,2,41.16
655,1968,2021-10-06,2,51.81
656,747,2021-09-19,2,53.29
657,200,2022-08-31,2,28.83
658,1416,2021-03-04,2,27.24
659,688,2022-12-30,2,28.98
660,1605,2020-10-29,2,38.29
661,656,2024-08-07,2,25.19
662,743,2024-10-23,2,41.07
663,497,2020-08-24,2,33.14
664,970,2021-10-08,2,34.0
665,1600,2021-02-10,2,29.36
666,1167,2020-07-18,2,59.4
667,344,2020-10-10,2,27.69
668,1880,2022-10-04,2,45.77
669,1561,2024-06-09,2,48.02
670,1993,2020-08-21,2,42.27
671,419,2022-10-26,2,39.84
672,676,2022-11-23,2,45.85
673,1243,2023-08-16,2,19.47
674,1937,2020-02-22,2,55.94
675,1113,2021-04-22,2,56.58
676,1972,2022-09-04,2,28.9
677,1515,2022-02-14,2,33.82
678,983,2020-03-21,2,41.6
679,1888,2023-06-12,2,48.7
680,1026,2023-09-04,2,25.82
681,1406,2020-09-14,2,29.84
682,242,2022-06-30,2,39.74
683,411,2020-01-27,2,37.81
684,1822,2022-12-23,2,32.02
685,1422,2022-12-13,2,37.98
686,1048,2023-08-02,2,46.79
687,1162,2023-08-31,2,43.24
688,320,2022-01-18,2,41.89
689,1838,2021-10-19,2,29.43
690,241,2022-08-02,2,58.88
691,606,2020-07-14,2,45.71
692,147,2021-02-19,2,42.1
693,1135,2023-03-25,2,37.42
694,1265,2020-07-20,2,30.0
695,229,2021-10-31,2,29.44
696,1572,2023-10-12,2,27.71
697,341,2021-11-10,2,37.79
698,415,2021-07-28,2,35.2
699,1619,2024-04-10,2,27.67
700,272,2024-03-07,2,29.38
701,1178,2023-06-10,2,26.46
702,1099,2024-02-21,2,13.21
703,1491,2021-12-23,2,26.15
704,685,2023-07-28,2,43.27
705,286,2021-08-06,2,29.91
706,1132,2023-01-17,2,83.29
707,208,2022-03-12,2,24.05
708,655,2021-03-29,2,34.88
709,711,2024-01-10,2,48.94
710,1833,2022-04-28,2,94.56
711,747,2020-02-20,2,29.59
712,1698,2021-02-17,2,31.84
713,645,2021-09-20,2,40.16
714,1005,2022-03-23,2,36.88
715,1173,2021-06-27,2,28.44
716,1678,2023-04-19,2,50.87
717,1181,2021-03-20,2,48.2
718,1077,2024-12-26,2,49.51
719,870,2024-12-29,2,35.21
720,1736,2020-08-12,2,26.09
721,980,2023-11-26,2,41.62
722,1331,2020-05-16,2,23.12
723,527,2021-09-07,2,59.92
724,19,2021-12-24,2,32.86
725,130,2023-11-21,2,33.93
726,1435,2023-11-12,2,30.53
727,363,2024-06-17,2,31.34
728,426,2022-05-30,2,36.3
729,1123,2021-02-19,2,40.04
730,1120,2024-09-28,2,47.11
731,556,2023-07-03,2,45.02
732,637,2020-10-13,2,47.31
733,1021,2022-03-30,2,44.8
734,1504,2022-03-21,2,32.53
735,454,2022-04-26,2,18.41
736,1201,2020-07-03,2,52.28
737,1783,2020-08-23,2,33.52
738,1117,2022-09-06,2,20.73
739,400,2020-05-03,2,32.37
740,1149,2022-06-03,2,38.97
741,806,2020-08-30,2,75.6
742,1527,2024-11-02,2,20.98
743,48,2021-04-23,2,36.61
744,994,2023-06-01,2,65.36
745,1707,2021-07-11,2,40.74
746,742,2024-10-04,2,24.54
747,376,2022-09-30,2,43.57
748,571,2023-08-16,2,51.69
749,1115,2024-07-11,2,57.36
750,767,2023-10-15,2,34.62
751,427,2023-04-03,2,34.2
752,528,2022-08-09,2,32.22
753,1999,2020-01-05,2,28.66
754,1879,2020-03-01,2,33.51
755,1324,2022-05-02,2,43.5
756,997,2022-09-02,2,57.82
757,1748,2021-07-08,2,41.68
758,1027,2023-05-21,2,23.18
759,1037,2020-11-26,2,38.74
760,1505,2024-11-14,2,27.02
761,26,2022-10-31,2,28.84
762,1093,2022-05-03,2,40.1
763,673,2020-09-03,2,25.69
764,1862,2020-11-28,2,36.49
765,1227,2020-08-06,2,48.12
766,1827,2023-12-13,2,30.7
767,214,2022-06-02,2,31.95
768,68,2022-10-21,2,37.49
769,88,2020-05-31,2,34.5
770,1195,2024-04-17,2,25.1
771,1224,2024-12-28,2,29.31
772,610,2021-12-22,2,33.12
773,497,2024-07-23,2,42.64
774,1601,2023-04-19,2,34.83
775,296,2021-02-11,2,30.66
776,836,2021-09-09,2,31.85
777,370,2023-12-22,2,40.35
778,1921,2024-06-16,2,49.75
779,1991,2023-11-01,2,41.11
780,1723,2024-09-15,2,41.49
781,1532,2020-04-26,2,27.19
782,1271,2021-07-18,2,29.71
783,462,2021-04-19,2,52.07
784,1439,2020-12-28,2,49.59
785,1712,2022-05-15,2,37.06
786,1570,2023-07-22,2,33.46
787,1425,2022-05-06,2,24.73
788,1230,2022-07-13,2,33.38
789,1334,2023-03-27,2,24.08
790,826,2023-03-12,2,41.19
791,984,2021-10-27,2,24.28
792,216,2021-04-26,2,55.65
793,857,2024-07-30,2,44.25
794,470,2024-05-21,2,18.78
795,1699,2024-08-27,2,29.15
796,633,2021-04-11,2,21.8
