id_articolo,id_ordine,id_linea,codice_partita,numerosequenziale,costo
90,45,2,824,2,9.34
91,46,5,465,1,33.51
92,46,7,795,2,18.92
93,47,10,646,1,23.63
94,47,2,29,2,9.11
95,48,8,870,1,14.38
96,48,8,979,2,43.41
97,49,5,124,1,6.91
98,49,10,445,2,25.66
99,50,6,961,1,11.92
100,50,2,236,2,10.5
101,51,4,342,1,23.84
102,51,7,201,2,9.81
103,52,5,9,1,27.12
104,52,7,893,2,16.41
105,53,10,966,1,33.28
106,53,10,431,2,20.22
107,54,4,552,1,8.7
108,54,5,810,2,13.29
109,55,8,702,1,13.71
110,55,8,422,2,38.03
111,56,4,856,1,35.44
112,56,5,844,2,18.46
113,57,3,61,1,10.98
114,57,1,509,2,25.09
115,58,4,811,1,21.4
116,58,5,352,2,12.71
117,59,1,725,1,15.95
118,59,4,620,2,17.27
119,60,2,635,1,12.78
120,60,2,21,2,12.34
121,61,10,427,1,25.0
122,61,8,117,2,11.66
123,62,3,539,1,17.89
124,62,7,157,2,10.28
125,63,2,402,1,10.94
126,63,10,466,2,8.09
127,64,10,67,1,17.11
128,64,7,63,2,13.2
129,65,4,720,1,26.45
130,65,9,164,2,20.89
131,66,1,345,1,13.48
132,66,6,60,2,19.22
133,67,5,289,1,13.06
134,67,6,637,2,37.22
135,68,2,816,1,8.72
136,68,3,19,2,10.72
137,69,1,691,1,18.23
138,69,5,485,2,27.26
139,70,2,929,1,23.52
140,70,3,873,2,37.96
141,71,5,243,1,9.53
142,71,4,699,2,31.84
143,72,3,842,1,16.2
144,72,2,544,2,10.36
145,73,9,692,1,39.1
146,73,1,252,2,16.65
147,74,3,165,1,11.52
148,74,6,384,2,20.98
149,75,3,602,1,9.3
150,75,8,624,2,28.44
151,76,5,351,1,11.9
152,76,4,938,2,13.26
153,77,1,318,1,37.21
154,77,8,869,2,14.64
155,78,10,493,1,17.25
156,78,3,739,2,19.63
157,79,1,318,1,37.21
158,79,7,829,2,18.11
159,80,1,818,1,13.97
160,80,4,890,2,25.29
161,81,2,287,1,10.42
162,81,7,733,2,20.53
163,82,3,654,1,19.43
164,82,3,919,2,17.41
165,83,5,186,1,7.68
166,83,4,811,2,21.4
167,84,6,678,1,25.19
168,84,6,647,2,9.59
169,85,1,318,1,37.21
170,85,10,780,2,14.36
171,86,4,881,1,16.07
172,86,3,674,2,21.72
173,87,2,807,1,14.66
174,87,2,915,2,14.09
175,88,4,434,1,14.73
176,88,2,661,2,27.27
177,89,10,445,1,25.66
178,89,10,448,2,27.32
179,90,1,90,1,19.14
180,90,6,281,2,8.58
181,91,2,500,1,13.35
182,91,8,928,2,9.63
183,92,3,474,1,14.67
184,92,4,648,2,12.68
185,93,1,469,1,17.09
186,93,7,643,2,21.16
187,94,4,138,1,11.95
188,94,2,610,2,21.22
189,95,9,785,1,7.49
190,95,6,28,2,13.83
191,96,10,340,1,15.52
192,96,6,140,2,15.06
193,97,1,763,1,13.7
194,97,4,249,2,37.69
195,98,8,483,1,21.14
196,98,5,69,2,17.85
197,99,6,93,1,10.5
198,99,7,125,2,11.62
199,100,3,819,1,18.37
200,100,6,384,2,20.98
201,101,5,810,1,13.29
202,101,3,159,2,25.71
203,102,10,206,1,11.39
204,102,1,435,2,15.36
205,103,6,232,1,20.01
206,103,7,943,2,16.54
207,104,5,247,1,15.78
208,104,5,752,2,35.01
209,105,3,410,1,8.62
210,105,10,208,2,13.49
211,106,3,159,1,25.71
212,106,9,449,2,28.17
213,107,5,330,1,22.62
214,107,7,527,2,20.03
215,108,8,438,1,13.82
216,108,3,127,2,23.17
217,109,3,896,1,24.79
218,109,7,304,2,14.49
219,110,3,372,1,49.5
220,110,4,130,2,21.79
221,111,6,655,1,12.82
222,111,2,854,2,26.74
223,112,8,662,1,11.37
224,112,10,97,2,13.03
225,113,6,204,1,26.05
226,113,9,168,2,27.88
227,114,9,727,1,7.49
228,114,7,503,2,8.42
229,115,9,685,1,18.36
230,115,10,17,2,15.35
231,116,4,314,1,20.93
232,116,6,258,2,28.03
233,117,3,747,1,34.8
234,117,2,383,2,17.35
235,118,8,702,1,13.71
236,118,10,966,2,33.28
237,119,10,728,1,32.64
238,119,2,143,2,9.69
239,120,6,10,1,22.63
240,120,2,317,2,23.22
241,121,9,27,1,20.77
242,121,1,412,2,30.04
243,122,4,638,1,10.42
244,122,9,817,2,15.22
245,123,6,447,1,9.96
246,123,10,466,2,8.09
247,124,4,811,1,21.4
248,124,4,755,2,15.69
249,125,1,867,1,20.06
250,125,4,971,2,31.1
251,126,10,427,1,25.0
252,126,5,187,2,22.99
253,127,2,404,1,16.14
254,127,3,61,2,10.98
255,128,6,93,1,10.5
256,128,1,812,2,12.9
257,129,3,736,1,24.06
258,129,1,725,2,15.95
259,130,3,144,1,12.44
260,130,8,378,2,14.83
261,131,5,844,1,18.46
262,131,1,376,2,16.38
263,132,8,70,1,11.25
264,132,1,681,2,25.89
265,133,5,802,1,25.42
266,133,6,172,2,23.71
267,134,10,45,1,18.72
268,134,4,221,2,20.96
269,135,4,109,1,23.4
270,135,3,275,2,26.79
271,136,8,870,1,14.38
272,136,1,861,2,27.68
273,137,4,408,1,28.47
274,137,8,261,2,11.17
275,138,1,621,1,14.48
276,138,4,914,2,14.91
277,139,7,213,1,11.47
278,139,8,585,2,30.48
279,140,2,21,1,12.34
280,140,8,438,2,13.82
281,141,3,88,1,35.08
282,141,8,70,2,11.25
283,142,9,855,1,13.82
284,142,4,814,2,29.95
285,143,1,71,1,36.94
286,143,9,185,2,18.01
287,144,2,765,1,22.16
288,144,9,334,2,26.66
289,145,6,937,1,21.77
290,145,7,684,2,27.74
291,146,3,152,1,16.96
292,146,9,55,2,22.02
293,147,6,140,1,15.06
294,147,6,716,2,12.09
295,148,6,161,1,44.85
296,148,8,568,2,9.0
297,149,2,765,1,22.16
298,149,2,455,2,27.69
299,150,1,536,1,10.96
300,150,8,457,2,18.2
301,151,6,232,1,20.01
302,151,5,618,2,17.39
303,152,5,734,1,14.73
304,152,6,834,2,19.7
305,153,1,845,1,14.94
306,153,3,875,2,19.65
307,154,1,850,1,25.73
308,154,7,416,2,11.85
309,155,3,103,1,39.31
310,155,5,772,2,19.03
311,156,8,687,1,13.87
312,156,3,313,2,22.64
313,157,2,630,1,9.82
314,157,8,51,2,25.15
315,158,7,887,1,24.35
316,158,2,538,2,18.66
317,159,1,285,1,21.27
318,159,4,421,2,17.81
319,160,4,605,1,7.75
320,160,1,415,2,32.29
321,161,6,984,1,14.49
322,161,7,852,2,12.89
323,162,6,637,1,37.22
324,162,2,393,2,17.31
325,163,10,980,1,10.14
326,163,8,370,2,22.39
327,164,9,114,1,35.68
328,164,6,484,2,12.76
329,165,4,625,1,18.2
330,165,3,100,2,21.46
331,166,4,428,1,18.91
332,166,3,636,2,30.98
333,167,8,117,1,11.66
334,167,7,2,2,21.95
335,168,1,791,1,27.84
336,168,6,961,2,11.92
337,169,1,681,1,25.89
338,169,7,800,2,24.09
339,170,6,146,1,14.91
340,170,4,85,2,7.88
341,171,6,737,1,15.34
342,171,4,667,2,9.67
343,172,4,83,1,12.95
344,172,2,89,2,19.85
345,173,2,560,1,24.68
346,173,1,412,2,30.04
347,174,5,897,1,16.16
348,174,4,133,2,15.21
349,175,5,772,1,19.03
350,175,1,861,2,27.68
351,176,7,123,1,36.05
352,176,5,524,2,17.75
353,177,2,366,1,29.83
354,177,7,995,2,12.96
355,178,9,660,1,14.84
356,178,3,152,2,16.96
357,179,5,331,1,9.85
358,179,7,603,2,40.24
359,180,1,240,1,24.34
360,180,4,938,2,13.26
361,181,3,891,1,17.73
362,181,4,528,2,6.02
363,182,7,795,1,18.92
364,182,1,388,2,16.29
365,183,6,972,1,24.69
366,183,7,62,2,14.51
367,184,2,661,1,27.27
368,184,1,235,2,10.95
369,185,6,563,1,17.59
370,185,6,937,2,21.77
371,186,9,501,1,23.2
372,186,4,881,2,16.07
373,187,6,985,1,32.27
374,187,1,499,2,21.39
375,188,6,945,1,30.68
376,188,3,129,2,11.14
377,189,9,993,1,6.54
378,189,10,218,2,9.57
379,190,10,45,1,18.72
380,190,7,733,2,20.53
381,191,2,722,1,15.48
382,191,10,17,2,15.35
383,192,8,14,1,33.22
384,192,7,955,2,23.88
385,193,1,845,1,14.94
386,193,6,737,2,15.34
387,194,3,165,1,11.52
388,194,5,799,2,14.67
389,195,7,339,1,12.31
390,195,1,57,2,23.66
391,196,8,568,1,9.0
392,196,7,973,2,12.12
393,197,1,453,1,32.11
394,197,6,161,2,44.85
395,198,3,821,1,21.99
396,198,8,198,2,36.0
397,199,5,306,1,15.47
398,199,4,932,2,16.95
399,200,5,772,1,19.03
400,200,9,652,2,10.88
401,201,3,226,1,7.24
402,201,8,607,2,10.14
403,202,4,625,1,18.2
404,202,2,596,2,19.09
405,203,1,324,1,15.46
406,203,9,343,2,14.53
407,204,5,462,1,27.41
408,204,8,512,2,17.03
409,205,9,627,1,13.31
410,205,9,11,2,7.05
411,206,4,405,1,16.1
412,206,2,383,2,17.35
413,207,2,915,1,14.09
414,207,4,248,2,12.38
415,208,6,718,1,44.5
416,208,7,107,2,11.37
417,209,10,206,1,11.39
418,209,3,66,2,24.99
419,210,4,866,1,19.12
420,210,9,54,2,6.39
421,211,1,318,1,37.21
422,211,10,693,2,26.72
423,212,8,480,1,8.31
424,212,2,851,2,11.11
425,213,9,169,1,15.86
426,213,4,605,2,7.75
427,214,6,161,1,44.85
428,214,9,270,2,11.82
429,215,3,86,1,14.74
430,215,6,888,2,14.05
431,216,6,425,1,15.54
432,216,9,817,2,15.22
433,217,10,431,1,20.22
434,217,7,998,2,14.0
435,218,1,90,1,19.14
436,218,4,424,2,21.83
437,219,8,588,1,23.4
438,219,8,793,2,11.64
439,220,9,956,1,30.13
440,220,10,656,2,11.08
441,221,4,619,1,12.15
442,221,7,795,2,18.92
443,222,4,421,1,17.81
444,222,6,204,2,26.05
445,223,7,733,1,20.53
446,223,10,45,2,18.72
447,224,7,666,1,12.65
448,224,8,203,2,12.4
449,225,5,790,1,16.98
450,225,6,6,2,14.15
451,226,9,437,1,25.07
452,226,7,513,2,18.2
453,227,5,634,1,20.6
454,227,4,434,2,14.73
455,228,6,202,1,24.95
456,228,7,903,2,14.44
457,229,2,21,1,12.34
458,229,4,552,2,8.7
459,230,6,597,1,35.53
460,230,2,399,2,13.37
461,231,6,868,1,22.89
462,231,9,290,2,24.66
463,232,4,76,1,19.67
464,232,7,733,2,20.53
465,233,2,757,1,25.9
466,233,6,7,2,26.75
467,234,9,627,1,13.31
468,234,9,671,2,25.39
469,235,5,199,1,20.65
470,235,4,667,2,9.67
471,236,8,149,1,7.98
472,236,8,155,2,15.6
473,237,10,340,1,15.52
474,237,3,377,2,16.08
475,238,1,805,1,20.11
476,238,3,178,2,10.53
477,239,4,814,1,29.95
478,239,3,708,2,25.85
479,240,10,980,1,10.14
480,240,10,664,2,11.28
481,241,8,558,1,17.65
482,241,6,233,2,15.74
483,242,8,180,1,16.19
484,242,8,793,2,11.64
485,243,3,23,1,18.91
486,243,2,729,2,19.33
487,244,8,195,1,13.86
488,244,2,724,2,23.85
489,245,4,820,1,41.41
490,245,9,197,2,14.47
491,246,5,186,1,7.68
492,246,4,249,2,37.69
493,247,3,377,1,16.08
494,247,3,58,2,27.28
495,248,1,781,1,21.37
496,248,10,632,2,9.69
497,249,3,474,1,14.67
498,249,8,871,2,19.83
499,250,9,652,1,10.88
500,250,10,783,2,19.61
501,251,9,122,1,15.87
502,251,2,317,2,23.22
503,252,3,730,1,18.76
504,252,1,958,2,14.27
505,253,10,67,1,17.11
506,253,10,476,2,39.15
507,254,10,977,1,18.14
508,254,4,877,2,49.03
509,255,7,390,1,34.84
510,255,8,687,2,13.87
511,256,4,81,1,21.3
512,256,9,84,2,20.6
513,257,7,886,1,12.91
514,257,2,402,2,10.94
515,258,7,951,1,11.79
516,258,9,627,2,13.31
517,259,1,805,1,20.11
518,259,8,606,2,8.75
519,260,6,644,1,10.24
520,260,4,160,2,11.69
521,261,9,268,1,35.9
522,261,10,582,2,14.38
523,262,1,460,1,13.65
524,262,9,786,2,39.25
525,263,2,596,1,19.09
526,263,8,193,2,13.68
527,264,5,495,1,14.63
528,264,7,107,2,11.37
529,265,9,786,1,39.25
530,265,9,164,2,20.89
531,266,10,567,1,11.68
532,266,5,790,2,16.98
533,267,1,348,1,22.46
534,267,10,780,2,14.36
535,268,2,757,1,25.9
536,268,9,956,2,30.13
537,269,10,925,1,22.02
538,269,8,976,2,19.28
539,270,1,388,1,16.29
540,270,4,669,2,23.77
541,271,2,948,1,13.77
542,271,2,414,2,21.84
543,272,10,582,1,14.38
544,272,4,561,2,13.36
545,273,5,809,1,13.17
546,273,4,329,2,48.19
547,274,8,702,1,13.71
548,274,1,365,2,19.29
549,275,9,633,1,17.23
550,275,2,915,2,14.09
551,276,8,305,1,20.06
552,276,10,92,2,11.22
553,277,1,104,1,24.88
554,277,4,983,2,44.57
555,278,8,928,1,9.63
556,278,1,367,2,38.19
557,279,3,372,1,49.5
558,279,9,168,2,27.88
559,280,3,178,1,10.53
560,280,8,422,2,38.03
561,281,5,769,1,8.81
562,281,4,898,2,15.66
563,282,7,599,1,22.7
564,282,6,972,2,24.69
565,283,7,887,1,24.35
566,283,9,786,2,39.25
567,284,10,92,1,11.22
568,284,4,76,2,19.67
569,285,2,399,1,13.37
570,285,3,736,2,24.06
571,286,3,410,1,8.62
572,286,9,168,2,27.88
573,287,1,403,1,36.23
574,287,7,368,2,25.09
575,288,2,29,1,9.11
576,288,10,327,2,32.99
577,289,10,427,1,25.0
578,289,3,913,2,24.52
579,290,2,506,1,28.45
580,290,9,241,2,26.66
581,291,4,76,1,19.67
582,291,9,962,2,21.91
583,292,2,878,1,43.2
584,292,1,894,2,14.27
585,293,6,868,1,22.89
586,293,6,737,2,15.34
587,294,8,870,1,14.38
588,294,7,991,2,26.59
589,295,10,188,1,30.6
590,295,9,855,2,13.82
591,296,8,336,1,13.1
592,296,10,964,2,16.64
593,297,8,312,1,10.74
594,297,4,863,2,16.5
595,298,3,602,1,9.3
596,298,1,412,2,30.04
597,299,8,761,1,9.7
598,299,1,274,2,16.7
599,300,4,638,1,10.42
600,300,2,628,2,17.77
601,301,2,113,1,13.44
602,301,10,291,2,17.4
603,302,10,218,1,9.57
604,302,1,5,2,30.67
605,303,3,295,1,17.03
606,303,1,252,2,16.65
607,304,8,417,1,18.6
608,304,6,923,2,21.19
609,305,3,88,1,35.08
610,305,5,289,2,13.06
611,306,9,685,1,18.36
612,306,1,862,2,18.91
613,307,3,602,1,9.3
614,307,6,308,2,36.35
615,308,10,912,1,13.02
616,308,4,303,2,24.17
617,309,9,743,1,14.38
618,309,10,601,2,8.79
619,310,9,397,1,35.66
620,310,9,36,2,17.48
621,311,9,633,1,17.23
622,311,4,221,2,20.96
623,312,10,601,1,8.79
624,312,6,770,2,12.2
625,313,1,423,1,11.52
626,313,4,749,2,24.86
627,314,4,522,1,15.74
628,314,6,672,2,23.48
629,315,4,605,1,7.75
630,315,10,229,2,33.1
631,316,8,301,1,11.26
632,316,1,862,2,18.91
633,317,2,369,1,21.59
634,317,8,483,2,21.14
635,318,4,670,1,12.69
636,318,4,492,2,16.61
637,319,3,595,1,7.0
638,319,1,91,2,25.87
639,320,6,716,1,12.09
640,320,4,428,2,18.91
641,321,2,757,1,25.9
642,321,6,440,2,32.95
643,322,4,212,1,9.11
644,322,5,461,2,12.76
645,323,3,777,1,17.97
646,323,4,314,2,20.93
647,324,2,698,1,19.18
648,324,6,597,2,35.53
649,325,6,834,1,19.7
650,325,4,269,2,31.61
651,326,5,53,1,15.93
652,326,10,456,2,8.54
653,327,6,583,1,22.47
654,327,9,11,2,7.05
655,328,8,942,1,14.56
656,328,9,323,2,13.93
657,329,1,423,1,11.52
658,329,9,685,2,18.36
659,330,1,536,1,10.96
660,330,9,855,2,13.82
661,331,9,706,1,16.71
662,331,1,210,2,16.71
663,332,10,373,1,35.81
664,332,6,482,2,20.94
665,333,8,673,1,14.4
666,333,5,775,2,20.09
667,334,4,434,1,14.73
668,334,1,348,2,22.46
669,335,2,29,1,9.11
670,335,7,829,2,18.11
671,336,7,804,1,11.81
672,336,5,346,2,17.13
673,337,2,89,1,19.85
674,337,9,872,2,9.59
675,338,5,534,1,18.76
676,338,5,802,2,25.42
677,339,3,900,1,13.63
678,339,9,450,2,7.99
679,340,2,758,1,15.23
680,340,6,24,2,20.97
681,341,9,508,1,18.33
682,341,10,518,2,20.7
683,342,8,238,1,43.16
684,342,1,894,2,14.27
685,343,3,86,1,14.74
686,343,4,76,2,19.67
687,344,3,103,1,39.31
688,344,4,59,2,10.08
689,345,3,159,1,25.71
690,345,2,729,2,19.33
691,346,1,515,1,17.02
692,346,4,863,2,16.5
693,347,5,533,1,17.16
694,347,10,391,2,12.64
695,348,2,759,1,23.22
696,348,10,427,2,25.0
697,349,2,399,1,13.37
698,349,7,503,2,8.42
699,350,3,819,1,18.37
700,350,6,613,2,11.29
701,351,5,790,1,16.98
702,351,2,573,2,24.2
703,352,4,881,1,16.07
704,352,5,68,2,19.75
705,353,6,271,1,12.79
706,353,5,832,2,26.57
707,354,7,310,1,32.93
708,354,9,633,2,17.23
709,355,9,468,1,23.77
710,355,5,772,2,19.03
711,356,3,639,1,26.02
712,356,10,806,2,13.45
713,357,2,555,1,12.29
714,357,1,924,2,26.73
715,358,10,518,1,20.7
716,358,1,894,2,14.27
717,359,4,916,1,11.94
718,359,3,904,2,19.51
719,360,8,830,1,9.45
720,360,5,550,2,33.15
721,361,8,480,1,8.31
722,361,8,688,2,12.63
723,362,10,97,1,13.03
724,362,1,867,2,20.06
725,363,2,112,1,8.45
726,363,3,736,2,24.06
727,364,5,634,1,20.6
728,364,7,603,2,40.24
729,365,6,140,1,15.06
730,365,10,189,2,8.05
731,366,5,69,1,17.85
732,366,4,983,2,44.57
733,367,8,371,1,11.71
734,367,6,655,2,12.82
735,368,6,672,1,23.48
736,368,10,778,2,16.8
737,369,10,445,1,25.66
738,369,3,507,2,18.12
739,370,6,961,1,11.92
740,370,3,708,2,25.85
741,371,6,258,1,28.03
742,371,7,416,2,11.85
743,372,5,69,1,17.85
744,372,3,521,2,8.94
745,373,9,196,1,11.03
746,373,5,874,2,13.36
747,374,6,782,1,45.14
748,374,5,199,2,20.65
749,375,7,999,1,6.93
750,375,6,770,2,12.2
751,376,10,766,1,18.79
752,376,9,122,2,15.87
753,377,1,763,1,13.7
754,377,7,339,2,12.31
755,378,4,142,1,23.77
756,378,1,364,2,19.11
757,379,3,410,1,8.62
758,379,3,674,2,21.72
759,380,6,545,1,9.1
760,380,5,802,2,25.42
761,381,8,132,1,12.72
762,381,9,535,2,15.6
763,382,9,257,1,27.88
764,382,9,947,2,25.05
765,383,1,318,1,37.21
766,383,1,499,2,21.39
767,384,3,454,1,8.01
768,384,7,800,2,24.09
769,385,2,611,1,11.38
770,385,2,854,2,26.74
771,386,7,589,1,16.8
772,386,6,140,2,15.06
773,387,2,113,1,13.44
774,387,5,990,2,14.87
775,388,3,507,1,18.12
776,388,7,231,2,29.33
777,389,4,138,1,11.95
778,389,6,853,2,9.87
779,390,4,357,1,11.52
780,390,7,116,2,22.84
781,391,3,843,1,17.85
782,391,10,930,2,36.09
783,392,2,458,1,36.41
784,392,5,346,2,17.13
785,393,5,184,1,22.71
786,393,6,232,2,20.01
787,394,7,201,1,9.81
788,394,6,920,2,16.84
789,395,1,515,1,17.02
790,395,7,298,2,8.61
791,396,1,91,1,25.87
792,396,3,159,2,25.71
793,397,10,806,1,13.45
794,397,10,206,2,11.39
795,398,1,645,1,23.39
796,398,9,587,2,12.45
797,399,8,827,1,21.85
798,399,1,415,2,32.29
799,400,8,592,1,16.73
800,400,1,325,2,22.08
801,401,4,745,1,13.95
802,401,6,597,2,35.53
803,402,8,267,1,17.68
804,402,4,502,2,12.31
805,403,8,921,1,13.8
806,403,9,379,2,12.15
807,404,8,265,1,19.89
808,404,7,907,2,9.37
809,405,2,108,1,14.75
810,405,1,826,2,18.29
811,406,10,102,1,8.49
812,406,5,120,2,35.73
813,407,2,458,1,36.41
814,407,3,654,2,19.43
815,408,4,263,1,11.85
816,408,4,130,2,21.79
817,409,6,271,1,12.79
818,409,1,713,2,23.9
819,410,2,626,1,25.38
820,410,3,970,2,30.75
821,411,8,238,1,43.16
822,411,2,369,2,21.59
823,412,1,311,1,8.52
824,412,10,208,2,13.49
825,413,8,98,1,23.79
826,413,4,866,2,19.12
827,414,7,804,1,11.81
828,414,5,462,2,27.41
829,415,5,892,1,25.35
830,415,3,256,2,10.63
831,416,5,22,1,20.79
832,416,8,132,2,12.72
833,417,3,649,1,20.82
834,417,7,852,2,12.89
835,418,9,168,1,27.88
836,418,10,768,2,15.64
837,419,5,381,1,14.41
838,419,9,136,2,10.26
839,420,3,530,1,17.56
840,420,1,867,2,20.06
841,421,7,901,1,10.87
842,421,4,81,2,21.3
843,422,3,454,1,8.01
844,422,7,677,2,8.9
845,423,10,340,1,15.52
846,423,6,60,2,19.22
847,424,9,823,1,11.32
848,424,8,588,2,23.4
849,425,7,998,1,14.0
850,425,5,618,2,17.39
851,426,8,117,1,11.66
852,426,8,259,2,10.37
853,427,7,999,1,6.93
854,427,3,554,2,10.46
855,428,10,665,1,18.29
856,428,10,966,2,33.28
857,429,4,170,1,10.94
858,429,5,163,2,11.2
859,430,5,181,1,17.42
860,430,3,970,2,30.75
861,431,4,836,1,18.64
862,431,4,59,2,10.08
863,432,6,523,1,14.41
864,432,1,681,2,25.89
865,433,5,293,1,7.67
866,433,2,538,2,18.66
867,434,8,483,1,21.14
868,434,8,312,2,10.74
869,435,6,591,1,16.54
870,435,8,606,2,8.75
871,436,6,902,1,14.68
872,436,7,200,2,14.7
873,437,2,108,1,14.75
874,437,2,959,2,8.45
875,438,6,316,1,11.59
876,438,5,163,2,11.2
877,439,4,566,1,15.3
878,439,1,803,2,16.43
879,440,6,146,1,14.91
880,440,6,398,2,13.05
881,441,1,355,1,11.42
882,441,6,94,2,13.63
883,442,5,276,1,15.64
884,442,1,318,2,37.21
885,443,4,669,1,23.77
886,443,5,173,2,10.42
887,444,10,340,1,15.52
888,444,5,330,2,22.62
889,445,7,79,1,18.04
890,445,4,983,2,44.57
891,446,2,302,1,7.84
892,446,6,7,2,26.75
893,447,1,645,1,23.39
894,447,7,684,2,27.74
895,448,4,329,1,48.19
896,448,3,539,2,17.89
897,449,3,129,1,11.14
898,449,4,83,2,12.95
899,450,6,232,1,20.01
900,450,9,114,2,35.68
901,451,8,105,1,25.58
902,451,1,240,2,24.34
903,452,7,200,1,14.7
904,452,6,597,2,35.53
905,453,2,551,1,16.77
906,453,10,45,2,18.72
907,454,4,720,1,26.45
908,454,3,171,2,6.61
909,455,8,283,1,7.8
910,455,3,747,2,34.8
911,456,6,504,1,17.93
912,456,8,607,2,10.14
913,457,9,277,1,10.49
914,457,8,265,2,19.89
915,458,3,100,1,21.46
916,458,9,993,2,6.54
917,459,7,740,1,21.27
918,459,3,913,2,24.52
919,460,1,617,1,26.56
920,460,8,457,2,18.2
921,461,10,664,1,11.28
922,461,4,631,2,23.94
923,462,7,182,1,22.19
924,462,6,985,2,32.27
925,463,10,97,1,13.03
926,463,4,510,2,27.54
927,464,5,892,1,25.35
928,464,2,487,2,13.35
929,465,4,720,1,26.45
930,465,2,915,2,14.09
931,466,6,985,1,32.27
932,466,9,136,2,10.26
933,467,7,390,1,34.84
934,467,3,313,2,22.64
935,468,9,685,1,18.36
936,468,5,430,2,17.39
937,469,1,569,1,9.91
938,469,7,409,2,30.16
939,470,6,961,1,11.92
940,470,5,124,2,6.91
941,471,1,274,1,16.7
942,471,10,579,2,21.14
943,472,9,11,1,7.05
944,472,7,339,2,12.31
945,473,3,616,1,17.31
946,473,7,436,2,13.28
947,474,3,604,1,7.78
948,474,8,238,2,43.16
949,475,3,165,1,11.52
950,475,7,320,2,26.44
951,476,1,867,1,20.06
952,476,6,384,2,20.98
953,477,10,518,1,20.7
954,477,6,233,2,15.74
955,478,5,618,1,17.39
956,478,9,257,2,27.88
957,479,2,698,1,19.18
958,479,5,430,2,17.39
959,480,4,242,1,25.5
960,480,6,718,2,44.5
961,481,7,541,1,9.68
962,481,1,754,2,37.76
963,482,7,297,1,13.6
964,482,10,373,2,35.81
965,483,9,508,1,18.33
966,483,7,800,2,24.09
967,484,3,891,1,17.73
968,484,5,9,2,27.12
969,485,7,262,1,15.52
970,485,4,866,2,19.12
971,486,6,868,1,22.89
972,486,3,913,2,24.52
973,487,8,203,1,12.4
974,487,1,460,2,13.65
975,488,8,238,1,43.16
976,488,7,446,2,24.87
977,489,3,444,1,29.54
978,489,9,270,2,11.82
979,490,8,505,1,17.45
980,490,3,896,2,24.79
981,491,1,194,1,10.76
982,491,7,446,2,24.87
983,492,1,569,1,9.91
984,492,2,746,2,10.73
985,493,1,435,1,15.36
986,493,7,903,2,14.44
987,494,6,425,1,15.54
988,494,8,689,2,22.61
989,495,4,969,1,20.45
990,495,5,120,2,35.73
991,496,2,544,1,10.36
992,496,9,164,2,20.89
993,497,4,292,1,9.73
994,497,5,395,2,37.96
995,498,10,445,1,25.66
